date,mev_unscaled,mev_monthly,isPartial,scale,mev
2019-08-30,43,50.0,,0.5,21.5
2019-08-31,0,50.0,,0.5,0.0
2019-09-01,0,46.0,False,0.46,0.0
2019-09-02,41,46.0,,0.46,18.86
2019-09-03,60,46.0,,0.46,27.6
2019-09-04,42,46.0,,0.46,19.32
2019-09-05,39,46.0,,0.46,17.94
2019-09-06,38,46.0,,0.46,17.48
2019-09-07,0,46.0,,0.46,0.0
2019-09-08,0,62.0,False,0.62,0.0
2019-09-09,30,62.0,,0.62,18.6
2019-09-10,85,62.0,,0.62,52.7
2019-09-11,92,62.0,,0.62,57.04
2019-09-12,81,62.0,,0.62,50.22
2019-09-13,66,62.0,,0.62,40.92
2019-09-14,77,62.0,,0.62,47.74
2019-09-15,59,52.0,False,0.52,30.68
2019-09-16,50,52.0,,0.52,26.0
2019-09-17,0,52.0,,0.52,0.0
2019-09-18,72,52.0,,0.52,37.44
2019-09-19,45,52.0,,0.52,23.400000000000002
2019-09-20,47,52.0,,0.52,24.44
2019-09-21,63,52.0,,0.52,32.76
2019-09-22,68,46.0,False,0.46,31.28
2019-09-23,0,46.0,,0.46,0.0
2019-09-24,100,46.0,,0.46,46.0
2019-09-25,60,46.0,,0.46,27.6
2019-09-26,34,46.0,,0.46,15.64
2019-09-27,60,46.0,,0.46,27.6
2019-09-28,35,46.0,,0.46,16.1
2019-09-29,49,66.0,False,0.66,32.34
2019-09-30,88,66.0,,0.66,58.080000000000005
2019-10-01,0,66.0,,0.66,0.0
2019-10-02,57,66.0,,0.66,37.620000000000005
2019-10-03,100,66.0,,0.66,66.0
2019-10-04,23,66.0,,0.66,15.180000000000001
2019-10-05,80,66.0,,0.66,52.800000000000004
2019-10-06,44,83.0,False,0.83,36.519999999999996
2019-10-07,24,83.0,,0.83,19.919999999999998
2019-10-08,68,83.0,,0.83,56.44
2019-10-09,83,83.0,,0.83,68.89
2019-10-10,85,83.0,,0.83,70.55
2019-10-11,36,83.0,,0.83,29.88
2019-10-12,96,83.0,,0.83,79.67999999999999
2019-10-13,96,54.0,False,0.54,51.84
2019-10-14,31,54.0,,0.54,16.740000000000002
2019-10-15,33,54.0,,0.54,17.82
2019-10-16,62,54.0,,0.54,33.480000000000004
2019-10-17,33,54.0,,0.54,17.82
2019-10-18,60,54.0,,0.54,32.400000000000006
2019-10-19,19,54.0,,0.54,10.260000000000002
2019-10-20,40,49.0,False,0.49,19.6
2019-10-21,60,49.0,,0.49,29.4
2019-10-22,53,49.0,,0.49,25.97
2019-10-23,93,49.0,,0.49,45.57
2019-10-24,27,49.0,,0.49,13.23
2019-10-25,64,49.0,,0.49,31.36
2019-10-26,50,49.0,,0.49,24.5
2019-10-27,80,55.0,False,0.55,44.0
2019-10-28,58,55.0,,0.55,31.900000000000002
2019-10-29,51,55.0,,0.55,28.05
2019-10-30,76,55.0,,0.55,41.800000000000004
2019-10-31,29,55.0,,0.55,15.950000000000001
2019-11-01,70,55.0,,0.55,38.5
2019-11-02,0,55.0,,0.55,0.0
2019-11-03,76,47.0,False,0.47,35.72
