,date,volume
1187,2022-04-02,85
1188,2022-04-03,56
1189,2022-04-04,66
1190,2022-04-05,139
1191,2022-04-06,92
1192,2022-04-07,107
1193,2022-04-08,443
1194,2022-04-09,373
1195,2022-04-10,85
1196,2022-04-11,37
1197,2022-04-12,43
1198,2022-04-13,35
1199,2022-04-14,36
1200,2022-04-15,40
1201,2022-04-16,8
1202,2022-04-17,15
1203,2022-04-18,9
1204,2022-04-19,14
1205,2022-04-20,5
1206,2022-04-21,6
1207,2022-04-22,18
1208,2022-04-23,19
1209,2022-04-24,28
1210,2022-04-25,46
1211,2022-04-26,22
1212,2022-04-27,21
1213,2022-04-28,13
1214,2022-04-29,28
1215,2022-04-30,10
1216,2022-05-01,19
1217,2022-05-02,20
1218,2022-05-03,9
1219,2022-05-04,11
1220,2022-05-05,14
1221,2022-05-06,43
1222,2022-05-07,58
1223,2022-05-08,61
1224,2022-05-09,40
1225,2022-05-10,26
1226,2022-05-11,36
1227,2022-05-12,13
1228,2022-05-13,37
1229,2022-05-14,38
1230,2022-05-15,32
1231,2022-05-16,21
1232,2022-05-17,50
1233,2022-05-18,50
1234,2022-05-19,53
1235,2022-05-20,52
1236,2022-05-21,89
